,Headlines,Date
24,Hits and misses of corporate earnings: Top 10 companies that declared Sept quarter results last week, 20 Oct 2019
25,Nine of top-10 firms add Rs 1.47 lakh crore in m-cap, 20 Oct 2019
26,No slowdown in consumption: Reliance Retail, 18 Oct 2019
27,"Reliance Industries Q2FY20 â Retail and Jio drive the show, core business in line with global cues", 18 Oct 2019
28,RIL yet to decide on adoption of newer rate of corporate taxation, 18 Oct 2019
29,RIL Q2 profit beats estimates; 10 key takeaways from quarterly result,18 Oct 2019 
30,"RIL Q2 result: Consumer business now contributes one-third of quarterly EBITDA, says CFO",18 Oct 2019 
31,"RIL Q2 results: Highest ever quarterly profit of Rs 11,262 cr, GRM at $9.4/bbl; Jio adds 24mn subscribers",18 Oct 2019 
32,Reliance Industries bets big on Madhya Pradesh; eyes more investment,18 Oct 2019 
33,"Refining, telecom biz may boost RIL Q2 earnings; GRM could increase to $9.5/bbl", 18 Oct 2019
34,Reliance seeks LNG cargo for late November delivery: Sources,17 Oct 2019 
35,Reliance Industries can become 1st Indian firm to hit $200 bn m-cap in 24 months,16 Oct 2019 
36,What RJioâs IUC move means for the parentâs valuation,11 Oct 2019 
37,"Podcast | Stock picks of the day: Use correction to go long on Nifty; RIL, Quess Corp can return 6-11%",01 Oct 2019 
38,"Corporate Tax Cut | Companies to gain Rs 44,000 crore from deferred tax liabilities: Report", 24 Sep 2019
39,Reliance Industries says Mukesh Ambani's shareholding has not increased in company,19 Sep 2019 
40,Mukesh Ambani raises stake in Reliance Industries to 48.87%,18 Sep 2019 
41,Reliance Industries gains as promoter increases stake to 48.87%, 18 Sep 2019
42,"Reliance introduces anti-bribery, anti-money laundering clauses in gas sales pacts",12 Sep 2019 
43,Reliance Industries targets more retail acquisitions abroad,05 Sep 2019 
44,RIL again becomes most valued firm by market valuation,19 Aug 2019 
45,Fitch Ratings revises RIL outlook to positive,16 Aug 2019 
46,Moody's says Reliance stake sale to Aramco credit positive, 14 Aug 2019
47,Reliance Jio: Improving cash flows to strengthen balance sheet,12 Aug 2019 
48,RIL AGM -- a shift in favour of promising consumer-facing businesses opens the room for re-rating,12 Aug 2019 
49,"Net-zero debt, listing for Jio, Retailâdominant themes of Mukesh Ambaniâs speech at RILâs 42nd AGM",12 Aug 2019 
50,Analysts give thumbs up to Reliance Industries AGM,12 Aug 2019 
51,Full text: Mukesh Ambani's address at RIL's 42nd AGM,12 Aug 2019 
52,RIL to list Jio and Reliance Retail within next five years,12 Aug 2019 
53,Aim to be among the worldâs Top 20 retailers in 5 years: Mukesh Ambani,12 Aug 2019 
54,Reliance Industries AGM: Here are key takeaways from Mukesh Ambani's speech,12 Aug 2019 
55,"RIL AGM 2019: Jio Fiber to be launched on Sept 5, offer new movies, 4K HD TV sets for free",12 Aug 2019 
56,RIL to be net zero debt company within next 18 months: Mukesh Ambani, 12 Aug 2019
57,"Jio offers connectivity, cloud infra for budding startups absolutely free", 12 Aug 2019
58,"RIL, BP to invest Rs 35,000 crore in KG basin: Mukesh Ambani", 12 Aug 2019
59,"Petro retail JV with BP to bring in Rs 7,000cr, says RIL Chairman Mukesh Ambani", 12 Aug 2019
60,Saudi Aramco will acquire 20% stake in RILâs oil-to-chemical biz at an EV of $75 bn, 12 Aug 2019
61,"Tiffany to enter India; open stores in Delhi, Mumbai in partnership with Reliance",08 Aug 2019 
62,"Reliance, BP form fuel retail venture, to set up 5,500 petrol pumps over next 5 years",06 Aug 2019 
63,Amazon in talks to buy stake in India's Reliance Retail: Report,01 Aug 2019 
64,Reliance's refinery complexity index rises to 21.1%,26 Jul 2019 
65,Stock market bears push billionaire club to a 3-year low of 71,25 Jul 2019 
66,"Top buy and sell ideas by Ashwani Gujral, Mitessh Thakkar, Prakash Gaba for short term",23 Jul 2019 
67,"Reliance Industries Q1FY20: Retail and Jio drive the show, traditional businesses feel the heat", 19 Jul 2019
68,"Brookfield to infuse Rs 25,215 crore in RIL's tower arm",19 Jul 2019 
69,"Reliance Jio Q1 profit rises 6.1%, operating income beats street expectations",19 Jul 2019 
70,"RIL Q1 profit & revenue beat estimates, GRM declines marginally but Jio income grows 6%",19 Jul 2019 
71,"RIL may see good growth in Q1 revenue, GRM but margin may hit profitability QoQ",19 Jul 2019 
72,"BP, Reliance investing $5 bn in KG-D6 to produce 1 bcf of gas",17 Jul 2019 
73,RIL races past TCS to become most valued firm by m-cap,09 Jul 2019 
74,RIL partners with Turkey's KÄ±vanÃ§ Tekstil to manufacture and market eco-friendly textile,08 Jul 2019 
75,"Reliance, BP to develop deepest gas find in KG-D6 block by 2022",11 Jun 2019 
76,Reliance Industries to shut crude unit at Jamnagar refinery,10 Jun 2019 
77,"Reliance seeks three LNG cargoes for July, September, October: Sources",07 Jun 2019 
78,Reliance topples IOC to become the biggest Indian company,21 May 2019 
79,RIL again becomes most-valued firm by market cap,14 May 2019 
80,"Reliance to shut crude unit at 660,000 bpd refinery for up to four weeks: Sources",10 May 2019 
81,Podcast | Stock picks of the day: Why Britannia and HUL are a buy for short term,10 May 2019 
82,Reliance Industries' subsidiary acquires iconic British toy retailer Hamleys,09 May 2019 
83,SoftBank investing in Jio as Mukesh Ambani deleverages business,23 Apr 2019 
84,Buy Reliance Industries; target of Rs 1638: Nalanda Securities,22 Apr 2019 
85,Buy Reliance Industries; target of Rs 1638: Nalanda Securities,22 Apr 2019 
86,Buy Reliance Industries; target of Rs 1535: HDFC Securities,22 Apr 2019 
87,Buy Reliance Industries; target of Rs 1630: Sharekhan,22 Apr 2019 
88,'Non-stop rise in VIX alarming sign for traders', 22 Apr 2019
89,Reliance to start gas production from R-Cluster in 2nd half of FY21,19 Apr 2019 
90,Accumulate Reliance Industries; target of Rs 1406: Prabhudas Lilladher,19 Apr 2019 
91,Here is what analysts have to say on RIL Q4 FY19 earnings, 18 Apr 2019
92,Reliance Industries Q4FY19 â Consumer business takes up the baton, 18 Apr 2019
93,"Reliance Retail Q4 revenue up 51.6% YoY; company now biggest Indian retailer with 10,000  stores",18 Apr 2019 
94,"RIL Q4 profit up 9.8% at Rs 10,362 crore; Jio FY19 profit jumps 300% to Rs 2,964 crore",18 Apr 2019 
95,"RIL Q4 preview: Retail, Jio to drive consolidated PAT, refining segment expected to drag", 18 Apr 2019
96,Reliance to sell stakes in 6 firms operating ethane ships to Mitsui,17 Apr 2019 
97,In Play: Reliance Retail in talks to buy out 259-year-old British toymaker Hamleys, 17 Apr 2019
98,"Aramco in talks for 25% of Reliance's refining, petrochemical units: Report",17 Apr 2019 
99,"Reliance Industries Q4 PAT may dip 2.5% YoY to Rs. 8,478.5 cr: Prabhudas Lilladher", 12 Apr 2019
100,"Reliance industries (Consolidated) Q4 PAT seen up 10% YoY to Rs. 10,338 cr: Kotak",10 Apr 2019 
101,"Reliance industries (Standalone) Q4 PAT may dip 1% YoY to Rs. 8,616 cr: Kotak",10 Apr 2019 
102,"HSBC retains buy on Reliance Industries, expects strong growth in grocery business",10 Apr 2019 
103,What's the trigger to watch out for in Reliance Industries?,03 Apr 2019 
104,RIL touches record high; m-cap inches close to Rs 9 lakh cr,01 Apr 2019 
105,"With L&T-Mindtree saga playing out, here's a look at white knights of India Inc",23 Mar 2019 
106,"Top buy and sell ideas by Ashwani Gujral, Mitessh Thakkar, Prakash Gaba for short term",22 Mar 2019 
107,"Reliance sends fuel from India, Europe to Venezuela to sidestep US sanctions",21 Mar 2019 
108,"Mukesh Ambani bails out younger brother in Ericsson dispute; Anil thanks Mukesh, Nita",18 Mar 2019 
109,What will be the impact of India's boycott of Chinese goods?,14 Mar 2019 
110,"Reliance halts diluents export to Venezuela, not raised oil buying",14 Mar 2019 
111,"Oil regulator hikes tariff of pipeline transporting Reliance Industries gas by 37%, half of sought",13 Mar 2019 
112,"RIL leased 4,000 acre land from Navi Mumbai SEZ for economic hub",07 Mar 2019 
113,"Jio continues to capture market share; Bharti, Vodafone-Idea cede ground in December",21 Feb 2019 
114,Focus on Index Option strategy; RIL among 8 stocks that may see buying momentum,17 Feb 2019 
115,Reliance Industries opens research centre in Estonia to study digital society,13 Feb 2019 
116,Indian investors may join Brookfield's investment trust for East West Pipeline buy: Report, 11 Feb 2019
117,"Reliance Industries buys additional stake in Future101, Genesis Colors",08 Feb 2019 
118,"RIL open offer to acquire Den Networks, GTPL Hathway to commence from Friday",07 Feb 2019 
119,Reliance Jio now largest investor in West Bengal's digital space: Mukesh Ambani,07 Feb 2019 
120,Reliance chief Mukesh Ambani meets Saudi Aramco CEO: Aramco tweets,05 Feb 2019 
121,"Podcast | Stock picks of the day: Accumulate long positions in Nifty with stop loss of 10,700",05 Feb 2019 
122,"Buy Reliance Industries, target Rs 1330: Hadrien Mendonca", 25 Jan 2019
123,"Reliance can be India's Alibaba, says report",24 Jan 2019 
124,Vibrant Gujarat Summit: Mukesh Ambani outlines plans for e-commerce foray,18 Jan 2019 
125,Accumulate Reliance Industries; target of Rs 1238: Prabhudas Lilladher,18 Jan 2019 
126,Buy Reliance Industries; target of Rs 1426: Motilal Oswal,18 Jan 2019 
127,Buy Reliance Industries; target of Rs 1465: Sharekhan,18 Jan 2019 
128,"Mukesh Ambani invokes Gandhi, calls for revolution against data colonisation",18 Jan 2019 
129,"Brokerages gives a thumbs up to RIL Q3 show; should you buy, sell, or hold?",18 Jan 2019 
130,"Technical View | Top buy and sell ideas by Ashwani Gujral, Mitessh Thakkar, Prakash Gaba for short term",18 Jan 2019 
131,"RIL Q3 profit rises 7.7% to Rs 10,251 cr, GRM at $8.8/bbl; Jio net jumps 22%",17 Jan 2019 
132,RIL to announce Q3 result today; here's what to watch for, 16 Jan 2019
133,"Reliance Industries (Consolidated) Q3 PAT seen up 2% YoY to Rs. 9,627 cr: Kotak",09 Jan 2019 
134,"Reliance Industries (Standalone) Q3 PAT seen up 5% YoY to Rs. 8,886 cr: Kotak",09 Jan 2019 
135,Jio continues to capture market share; Vodafone-Idea cedes ground,07 Jan 2019 
136,"RIL gains nearly 2% after CLSA maintains buy rating, sees 36% upside", 07 Jan 2019
137,"6 of top-10 companies lose Rs 38,153 crore in m-cap", 06 Jan 2019
