,Headlines,Date
87,Buy Reliance Industries on dips: Sukhani,04 Nov 2011 
88,Hemen Kapadia bullish on Reliance Industries,04 Nov 2011 
89,Super Six intraday picks to make smart gains,04 Nov 2011 
90,Platts' top 250 global energy cos list: Who gets what & why, 03 Nov 2011
91,Reliance Industries may outperform: Sukhani,03 Nov 2011 
92,Reliance Industries may test Rs 900- 925: Vora, 03 Nov 2011
93,RIL's proposal to develop satellite fields hits hurdle,02 Nov 2011 
94,Buy Reliance Industries 860 put: VK Sharma, 02 Nov 2011
95,Reliance not to buy Valero,31 Oct 2011 
96,Nita Ambani board's EIH; New rule allows RIL in up stake,31 Oct 2011 
97,"Buy RIL, Ultratech, Tata Motors: Salil Sharma",31 Oct 2011 
98,"Hold Reliance Industries, says Rajesh Agarwal", 31 Oct 2011
99,"Foreign investors cut exposure to Tata, Ambani groups",30 Oct 2011 
100,Nira Radia quits communication consultancy business,30 Oct 2011 
101,Buy Reliance Industries; target of Rs 1119: Emkay, 29 Oct 2011
102,"'Pranab pressured Sebi to go easy on RIL, save Rs 1,500 cr'",28 Oct 2011 
103,Reliance Industries has target of Rs 940: Sharma,28 Oct 2011 
104,"Mukesh Ambani richest Indian, Anil Ambani drops to 13",27 Oct 2011 
105,"Pick L&T, RIL, Infy, SBI, Coal India this Diwali: Microsec",25 Oct 2011 
106,Accumulate Reliance Industries on dips: Rajesh Agarwal, 24 Oct 2011
107,RIL chases retail fix as Wal-Mart looms, 23 Oct 2011
108,Buy Reliance Industries; target Rs 1020: KRChoksey,22 Oct 2011 
109,Buy Reliance Industries; target of Rs 1020: KRChoksey,21 Oct 2011 
110,More downside in Crompton Greaves: Hemang Jani,20 Oct 2011 
111,"Infosys looks strong, says Jai Bala", 20 Oct 2011
112,Stay away from Reliance Industries,19 Oct 2011 
113,KG-D6 woes: Falling production big reason for low GRMs,19 Oct 2011 
114,Buy Reliance Industries around Rs 790: Manghnani, 19 Oct 2011
115,"Reliance Sep '11 sales at Rs 78,569.00 crore",18 Oct 2011 
116,Buy Reliance Industries; target of Rs 1060: Angel Broking,18 Oct 2011 
117,SMC Global`s view on Reliance Industries,18 Oct 2011 
118,"How to trade RIL, SBI, HDFC Bank, TCS in volatile market", 18 Oct 2011
119,Coal and gas supply issues cloud GVK Power's bright days, 18 Oct 2011
120,Reliance Industries has support at Rs 780: Kedia, 18 Oct 2011
121,Agrawal`s view on Reliance Industries,17 Oct 2011 
122,BP focusing on 'Next Wave' strategy to boost KG-D6 output,17 Oct 2011 
123,Accumulate Reliance Ind; target of Rs 952: PLilladher,17 Oct 2011 
124,Kunal Bothra's view on Reliance Industries,17 Oct 2011 
125,Buy Reliance Industries; target of Rs 1020: R K Global,17 Oct 2011 
126,Thunuguntla's view on Reliance Industries,17 Oct 2011 
127,Invest in Reliance Industries for long term: Rajesh Agarwal,17 Oct 2011 
128,Buy Reliance Industries on dips: Somil Mehta, 17 Oct 2011
129,Book profits in RIL: Manghnani, 17 Oct 2011
130,Reliance Industries to suspend oil and gas drilling: Report,17 Oct 2011 
131,"RIL to cool heels on Mon, FY12 EPS growth intact: Choksey",15 Oct 2011 
132,RIL results: Expert sees flat growth on gas for 3 more qtrs,15 Oct 2011 
133,"RIL Q2 PAT up 15.8% at Rs 5703cr, GRM below expectations",15 Oct 2011 
134,Tulsian`s view on Reliance Industries,14 Oct 2011 
135,Shardul Kulkarni's view on Reliance Industries,14 Oct 2011 
136,Will remain positive on RIL if it meets our estimates: IIFL, 14 Oct 2011
137,Reliance Industries a long term pick: PN Vijay, 14 Oct 2011
138,"With a weak rupee at play, RIL to post Q2 profits, stock up", 14 Oct 2011
139,"Stay long on Reliance Industries, says VK Sharma", 14 Oct 2011
140,RIL Q2 net profit seen up 1.6% at Rs 5750cr QoQ, 14 Oct 2011
141,Take long position in HCL Tech: Datta,13 Oct 2011 
142,Reliance Industries can touch Rs 930-1000: Kunal Saraogi,13 Oct 2011 
143,Reliance Industries can touch Rs 1000-1050: Devang Mehta,13 Oct 2011 
144,"Stay invested in RIL, says Phani Sekhar",13 Oct 2011 
145,Larsen may rally upto Rs 1500: Murlidhar,12 Oct 2011 
146,Buy Reliance Industries: Salil Sharma,12 Oct 2011 
147,RIL Sept qtr PAT seen up 18% at Rs 5799.2 cr: Motilal Oswal,12 Oct 2011 
148,Irani`s view on Reliance Industries,11 Oct 2011 
149,RIL in talks with media firms to source telecom content,10 Oct 2011 
150,"Buy RIL, Infosys, Tata Motors: Indianivesh Securities",10 Oct 2011 
151,Reliance Industries to sign deal with Disney's UTV : Report, 10 Oct 2011
152,Reliance Industries can test Rs 855: Anu Jain,10 Oct 2011 
153,RIL writes to Murli Manohar Joshi on CAG report,09 Oct 2011 
154,RIL Sept qtr PAT seen up 15% at Rs 5681cr: P Lilladher, 08 Oct 2011
155,"India Inc M&A deals value down 41% in Apr-Sep, 2011: Report",07 Oct 2011 
156,Gas find in Mozambique holds at least 10 Tcf: Videocon ,05 Oct 2011 
157,Gas supply stoppage by RIL not in line with court order:FAI,05 Oct 2011 
158,RIL to suspend gas supply to 4 fertiliser plants from Oct 6,05 Oct 2011 
159,L&T may test Rs 1000: Jai Bala,05 Oct 2011 
160,RIL wants $13 per mmBtu for CBM it plans to produce,03 Oct 2011 
161,RIL seeks govt nod to sell CBM gas at over $14/mmBtu,03 Oct 2011 
162,Buy Reliance Industries close to Rs 700: Joshi,03 Oct 2011 
163,Enter Reliance Industries on dips: Thukral, 03 Oct 2011
164,Scribe moves HC seeking to cancel RIL's licence for KG, 30 Sep 2011
165,Clean up a bit and the future can be ours: Corporate Inc,30 Sep 2011 
166,Invest in Reliance Industries: Sharmila Joshi,30 Sep 2011 
167,BP may sell some global assets to RIL: Report,29 Sep 2011 
168,Larsen and Toubro a good bet: Diwan,28 Sep 2011 
169,Buy Reliance Industries: Salil Sharma,28 Sep 2011 
170,"Buy Reliance, says Siddhartha Chatterjee",28 Sep 2011 
171,Govt still doesn't see RIL & BP as partners: Sources, 28 Sep 2011
172,BP pushes for early govt nod to develop D6 satellite field, 28 Sep 2011
173,"Buy Reliance Industries, says Rajesh Agarwal", 28 Sep 2011
174,Bull's Eye: 12 intraday picks for the day, 28 Sep 2011
175,Buy Reliance Industries around Rs 780-760: Gupta, 28 Sep 2011
176,Reliance Industries a trading stock: PN Vijay,28 Sep 2011 
177,BP's Robert Dudley to visit India tomorrow, 27 Sep 2011
178,Reliance Ind may test Rs 820- 825: Brics Securities,27 Sep 2011 
179,"BP chief may call on PM, FM during 2-day India visit",26 Sep 2011 
180,Tulsian`s view on EIH,26 Sep 2011 
181,RIL's new gas finds not viable at USD 4.2/mmBtu price: DGH,26 Sep 2011 
182,"Sell Reliance Industries, says Rakesh Bansal",26 Sep 2011 
183,Hold RIL for long term: Neera Jain,23 Sep 2011 
184,RIL not encouraged by findings of 4 new wells at D1D3,23 Sep 2011 
185,Reliance Industries may slip to Rs 745: Amit Harchekar,23 Sep 2011 
186,Invest in RIL for long term: Gajendra Nagpal, 23 Sep 2011
187,Buy RIL closer to Rs 750: Ambareesh Baliga,23 Sep 2011 
188,Short Reliance Ind below Rs 806: LKP,22 Sep 2011 
189,"Short L&T, Reliance: Mohindar",22 Sep 2011 
190,Reliance Ind may slip to Rs 760: Mohindar,22 Sep 2011 
191,RIL says oil min move on KG-D6 cost-recovery illegal,22 Sep 2011 
192,Reliance Industries has support at Rs 780-760: Amit Gupta, 21 Sep 2011
193,Reliance Ind has strong resistance at Rs 860: Way2Wealth,20 Sep 2011 
194,Reliance' KG-D6 gas output dips below 45 mmscmd,20 Sep 2011 
195,CBI may file case against Reliance Industries: Report, 20 Sep 2011
196,"Short RIL with stoploss above Rs 860, says Jai Bala", 20 Sep 2011
197,RIL plans maintenance shut down of units at Jamnagar, 19 Sep 2011
198,RIL to shut 2 units at refinery for maintenance,19 Sep 2011 
199,Reliance defends levy of marketing margin on KG-D6 gas,19 Sep 2011 
200,RIL may trade in range of Rs 800-850: SP Tulsian,16 Sep 2011 
201,Book profits in RIL at Rs 883: Manghnani, 16 Sep 2011
202,RIL's output from key gas block at 44 mscmd: Regulator,15 Sep 2011 
203,SP Tulsian views on Reliance Industries,15 Sep 2011 
204,Buy Reliance Industries on dips: Deven Choksey, 15 Sep 2011
205,Reliance may test Rs 860 levels: Agarwal,14 Sep 2011 
206,No cost recovery of underutilised facilities for RIL: SGI,14 Sep 2011 
207,Fresh controversy over RIL's KGD6 marketing margin: Sources,14 Sep 2011 
208,Reliance Industries has resistance at Rs 835-840: Kulkarni,14 Sep 2011 
209,RIL may go upto Rs 825: Salil Sharma,14 Sep 2011 
210,RIL may go upto Rs 850-860: Ashish Chaturmohta,13 Sep 2011 
211,Buy Reliance Industries around Rs 790-800: PN Vijay, 13 Sep 2011
212,Invest in Reliance Industries on dips: Choksey, 13 Sep 2011
213,"Abhijit Paul's view on Reliance, L&T",12 Sep 2011 
214,RIL has support around Rs 780-760: LKP,12 Sep 2011 
215,Accumulate Reliance on dips: Sandeep J Shah, 12 Sep 2011
216,Buy Reliance Industries on dips: Anu Jain, 12 Sep 2011
217,Reliance says KG D6 costs were not overstated,10 Sep 2011 
218,RIL shows experts audits to counter CAG charges on KG-D6,09 Sep 2011 
219,Buy Reliance Industries on dips: Deven Choksey,09 Sep 2011 
220,Take long positions in Reliance on dips: Bhatnagar, 09 Sep 2011
221,Sell Reliance Industries at Rs 880: Manghnani,09 Sep 2011 
222,CAG report on RIL highly damaging for India: RS Sharma, 08 Sep 2011
223,CAG for autonomy to DGH; Arm's length relation with OilMin,08 Sep 2011 
224,CAG report on RIL: Will it taint India's credibility?,08 Sep 2011 
225,Choksey`s view on Reliance Industries,08 Sep 2011 
226,CAG rebukes RIL on scope of audit of KG-D6 fields,08 Sep 2011 
227,CAG wants Cairn field cost increase to be audited as well,08 Sep 2011 
228,"CAG critical of RIL, Oil Ministry on KG-D6 contract",08 Sep 2011 
229,Invest in RIL on dips: Dilip Bhat,08 Sep 2011 
230,RIL may go up to Rs 860-865: Vijay Bhambwani,08 Sep 2011 
231,"RIL complies with PSC, good industry practice in KG-D6",08 Sep 2011 
232,"Above Rs 860, RIL can test Rs 900: Devangshu Datta",08 Sep 2011 
233,Keep Rs 810 stoploss in Reliance Industries: LKP ,08 Sep 2011 
234,CAG lambasts Reliance: Investors say 'So what?',08 Sep 2011 
235,"Peeved by CAG's report on RIL, experts say co future safe",08 Sep 2011 
236,RIL violated production sharing pact on KG-D6: CAG,08 Sep 2011 
237,Reliance Industries can move to Rs 880: Jai Bala, 08 Sep 2011
238,Reliance has resistance around Rs 845-850: Tulsian,07 Sep 2011 
239,UK-based BG Group in talks to buy stake in ONGC's assets,07 Sep 2011 
240,Oil Min chides DGH for reopening RIL marketing margin issue,07 Sep 2011 
241,Buy Reliance Industries: Salil Sharma,07 Sep 2011 
242,Stay away from ONGC: Amit Gupta, 07 Sep 2011
243,Reliance may move to Rs 840-845: Amit Gupta, 07 Sep 2011
244,Hold Reliance Industries: Ambareesh Baliga,07 Sep 2011 
245,"TCS to outperform, says Salil Sharma",06 Sep 2011 
246,Sharma`s view on Reliance Industries,06 Sep 2011 
247,Reliance may rally upto Rs 845- 850: Diwan,06 Sep 2011 
248,Irani`s view on Reliance Industries,06 Sep 2011 
249,BP may take 2 years to raise output at RIL's D6 block,06 Sep 2011 
250,"No issues with loan repayments from SEBs, says REC",06 Sep 2011 
251,"Siddharth Bhamre cautious on IT, Bank Nifty", 06 Sep 2011
252,"Reliance to outperform, says PN Vijay",06 Sep 2011 
253,HC terms plea against RIL on KG Basin as 'pre-mature',05 Sep 2011 
254,To continue to partner with Japanese cos: Mukesh Ambani,05 Sep 2011 
255,Devang Mehta's view on Reliance Industries,05 Sep 2011 
256,Reliance Industries has resistance at Rs 845: Tulsian, 05 Sep 2011
257,Reliance Industries has support at Rs 784: Anu Jain,05 Sep 2011 
258,Buy RIL closer to Rs 800: Arunesh Madan,05 Sep 2011 
259,6 stock ideas to liven up your trade,05 Sep 2011 
260,India firms raise USD 4.16 bn in July through ECBs,02 Sep 2011 
261,Prefer metal stocks to Reliance: Gupta,02 Sep 2011 
262,Reliance likely to trade in Rs 790-845 range: Tulsian,02 Sep 2011 
263,Buy Reliance Industries: Rajesh Agarwal, 02 Sep 2011
264,Buy Reliance Industries: Sanjeev Prasad, 02 Sep 2011
265,Reliance may rally upto Rs 840: Tulsian,30 Aug 2011 
266,Diwan`s view on Reliance,30 Aug 2011 
267,"Below Rs 760, Reliance may slip to Rs 710: Datta",30 Aug 2011 
268,RIL completes $7.2 bn deal with BP,30 Aug 2011 
269,Reliance Industries has support at Rs 750-755: Salil Sharma,30 Aug 2011 
270,"Go long on Tata Steel, says Salil Sharma",30 Aug 2011 
271,Reliance Gas' KG-D6 block output dips below 45 mmscmd/day,29 Aug 2011 
272,Above Rs 752 Reliance may test Rs 765-770: Kulkarni,29 Aug 2011 
273,Reliance Industries overtakes ONGC as most-valued company, 29 Aug 2011
274,Tulsian`s view on Reliance Industries,26 Aug 2011 
275,ONGC overtakes Reliance Industries as most-valued firm,26 Aug 2011 
276,"RIL, ONGC in close race for India's most-valued co title",26 Aug 2011 
277,ONGC looking to drill 8 wells in Krishna-Godavari gas block,25 Aug 2011 
278,RIL sub-lets sole drilling rig to Malaysia's Petronas,25 Aug 2011 
279,No disruption in coal provision to sectors yet: Coal India, 25 Aug 2011
280,Special bench to hear plea on KG gas exploration case, 24 Aug 2011
281,Coal India slips to third slot in market valuation league,24 Aug 2011 
282,"Manghnani's view on ONGC, Reliance Industries", 24 Aug 2011
283,"SC seeks Centre, AG's reply on UP govt plea in RIL gas row",23 Aug 2011 
284,Stay away from Hero Moto Corp: Tulsian,23 Aug 2011 
285,Reliance Industries drops Oman offshore oil project,23 Aug 2011 
286,CAG not taking our response in finalising report: RIL,23 Aug 2011 
287,Reliance withdraws from Oman oil exploration block,23 Aug 2011 
288,Buy RIL on decline: Devang Mehta,23 Aug 2011 
289,RIL regains lost glory; pips CIL as most-valued firm, 23 Aug 2011
290,Four recommendations that will help your portfolio,23 Aug 2011 
291,"Buy ONGC, Reliance at lower levels: Tulsian",22 Aug 2011 
292,ONGC may rally upto Rs 310: Brics Securities,22 Aug 2011 
293,RIL has resistance at Rs 775-790: LKP,22 Aug 2011 
294,The week that was: Anna shines; RIL fades,20 Aug 2011 
295,Reliance Industries may not fall below Rs 750: Tulsian,19 Aug 2011 
296,Under-fire Oil Ministry to face PM scrutiny,19 Aug 2011 
297,Reliance loses status as India's most valuable firm,18 Aug 2011 
298,Coal India aims to liquidate 25 mt coal going forward,17 Aug 2011 
299,"Buy Reliance, BHEL: PN Vijay",16 Aug 2011 
300,ONGC hires FPSO for oil production from D1 oilfield,12 Aug 2011 
301,RIL completes turnaround of its oil production facility,11 Aug 2011 
302,"Reliance is welcome to up stake, not ITC: EIH",09 Aug 2011 
303,Buy Reliance Industries: Jatinder Sharma,09 Aug 2011 
304,"Govt okays $7.2bn RIL-BP deal, Reliance says 'grateful'",09 Aug 2011 
305,See further downside in Reliance Industries: CLSA, 08 Aug 2011
306,SBI went past RBI limit in sanctioning corporate loans,05 Aug 2011 
307,Buy Reliance Industries: Deven Choksey,05 Aug 2011 
308,RIL may test Rs 710: Rajesh Satpute,05 Aug 2011 
309,Accumulate Reliance Industries: Mehta Equities, 05 Aug 2011
310,PN Vijay`s view on Reliance Ind,04 Aug 2011 
311,"Buy Reliance Industries, says Devang Mehta",04 Aug 2011 
312,Buy Reliance at current level: Malik,03 Aug 2011 
313,Reliance shuts oil production facilities in KG-D6,03 Aug 2011 
314,Reliance may see bounce back: Bala,02 Aug 2011 
315,RIL's KG-D6 produced 31% less gas than estimated,02 Aug 2011 
316,Hold Reliance Industries: Somil Mehta,01 Aug 2011 
317,IRDA to soon review norms to permit pension products,30 Jul 2011 
318,Buy Reliance Industries; target of Rs 1180: Angel Broking,29 Jul 2011 
319,Reliance Ind continues to remain underperformer: PN Vijay,28 Jul 2011 
320,"Below Rs 830-820, RIL can slip to Rs 790-770: IIFL",28 Jul 2011 
321,Buy Reliance Industries; target of Rs 1175: IIFL,28 Jul 2011 
322,Accumulate Reliance Industries; target Rs 1006: P Lilladher, 28 Jul 2011
323,CCI okays RIL's buyout of Bharti's stake in insurance JV,27 Jul 2011 
324,"Reliance Jun '11 sales at Rs 81,018.00 crore",27 Jul 2011 
325,Gave enough time for RIL to respond to audit report: CAG,26 Jul 2011 
326,CAG in process of finalising report on KG-D6 gas fields,26 Jul 2011 
327,RIL's Q2 forecast: Low gas output; stable refining margins, 26 Jul 2011
328,RIL: Experts say petchem margins to hold the key in Q2,25 Jul 2011 
329,Reliance Industries may rally upto Rs 920- 925: Baliga,25 Jul 2011 
330,Higher refining margins save the day for Reliance Inds,25 Jul 2011 
331,Osborne to unveil 1bn pound in commercial deals with India,25 Jul 2011 
332,Hold Reliance Industries: Salil Sharma,25 Jul 2011 
333,RIL can go upto Rs 980: Somil Mehta,25 Jul 2011 
334,Reliance Industries can test Rs 895: Tulsian, 25 Jul 2011
335,Decline in KG-D6 output to weigh on RIL's Q1 numbers,25 Jul 2011 
336,Govt to resolve issue of 2 RIL blocks soon says Reddy ,22 Jul 2011 
337,RIL-BP's $7.2bn deal seen as biggest FDI into India,22 Jul 2011 
338,CCEA approves $7.2-bn Reliance-BP deal,22 Jul 2011 
339,RIL inks JV with UXA Resources for uranium exploration,22 Jul 2011 
340,Cabinet approves BP buying stake in RIL's 21 blocks,22 Jul 2011 
341,Tulsian`s view on Reliance Industries,22 Jul 2011 
342,Reliance Industries Q1 net seen up 16% at Rs 5625cr YoY,22 Jul 2011 
343,Reliance Ind may rally upto Rs 900: Datta,22 Jul 2011 
344,Hold Reliance Industries: Puneet Kinra,22 Jul 2011 
345,RIL has strong support at Rs 839: Kapadia,21 Jul 2011 
346,RIL may take Nifty lower to 5470 level: Sharma,21 Jul 2011 
347,Exit Reliance Industries: Amit Goyal,20 Jul 2011 
348,Salil Sharma offers 5 short term trading picks,20 Jul 2011 
349,"LIC, Franklin up stake in RIL; buy shares worth Rs 200cr",18 Jul 2011 
350,US Ex-Im Bank approves $1.4bn loans to Indian cos,18 Jul 2011 
351,Reliance can move to Rs 885-890: IIFL,18 Jul 2011 
352,"Infosys, TCS top losers in m-cap last week", 17 Jul 2011
353,Only 21 RIL blocks may get unconditional nod for stake sale, 17 Jul 2011
354,"RIL plans to shut 110,000 bpd VGO unit in Sept: Sources",15 Jul 2011 
355,"Reliance says KG-D6 cost lower than GSPC, ONGC projects",15 Jul 2011 
356,Allegations of KG-D6 gold-plating handiwork of rivals: RIL,14 Jul 2011 
357,"JPMorgan's cues on RIL, Glenmark; BoAML on PFC, Cummins Ind",13 Jul 2011 
358,Sell Reliance 800 put: Kapadia,12 Jul 2011 
359,Reliance replies to CAG observations on KG-D6 gas field,12 Jul 2011 
360,Reliance team meets CAG officials,12 Jul 2011 
361,"Sell HPCL, says Abhishek Agarwal",12 Jul 2011 
362,8 Indian cos among world's 500 largest corps: Fortune,11 Jul 2011 
363,Buy Reliance around Rs 846-848 levels: India Infoline,11 Jul 2011 
364,RIL Jun qtr PAT seen up 22% at Rs 5907cr: KRChoksey,11 Jul 2011 
365,"Above Rs 900, go long in Reliance Industries: Thukral",11 Jul 2011 
366,Hold Reliance Industries: SP Tulsian,11 Jul 2011 
367,Prefer ONGC over RIL: Kotak Institutional, 11 Jul 2011
368,RIL may have replied on CAG audit to Oil Min & DGH,11 Jul 2011 
369,ONGC overtakes Coal India to become most valuable PSU,10 Jul 2011 
370,Higher crude realisation to scale up oil cos Q1 earnings,09 Jul 2011 
371,Reliance continue to remain in range of Rs 840-880: Tulsian,08 Jul 2011 
372,Invest in Reliance Industries: Phani Sekhar,08 Jul 2011 
373,Morgan Stanley downgrades Reliance Industries, 08 Jul 2011
374,Reliance seeks adequate time to respond to CAG report,07 Jul 2011 
375,RIL may go up to Rs 900: Salil Sharma,07 Jul 2011 
376,Home-grown hurdles push India Inc to invest abroad, 07 Jul 2011
377,Cabinet may take up Reliance-BP deal on Thursday: Sources,06 Jul 2011 
378,Invest in Reliance Industries: Somil Mehta,06 Jul 2011 
379,Oil Min refers Reliance-BP deal to CCEA,06 Jul 2011 
380,Don't short RIL at current level: Shardul Kulkarni,06 Jul 2011 
381,Buy Reliance Industries: Rajesh Agarwal,06 Jul 2011 
382,Amit Gupta`s view on Reliance, 06 Jul 2011
383,Mega block: Govt in no hurry to clear RIL-BP deal,05 Jul 2011 
384,Invest in RIL for long term: Emkay Global, 05 Jul 2011
385,Reliance Trends aims to double sales in FY12, 04 Jul 2011
386,CBI wants Oil Min to appoint expert for Reliance case,04 Jul 2011 
387,Reliance has resistance at Rs 900: LKP,04 Jul 2011 
388,"Hold Reliance Industries, says VK Sharma",04 Jul 2011 
389,Hold Reliance Industries: Jagannathan Thunuguntla, 04 Jul 2011
390,Tulsian's view on Reliance Industries, 04 Jul 2011
391,Reliance Industries has support at Rs 825-820: Thukral, 04 Jul 2011
392,Reliance Retail hires former Wal-Mart execs,04 Jul 2011 
393,Buy Reliance at current level: Angel Broking,01 Jul 2011 
394,Tata group market wealth crosses $100-bn mark,01 Jul 2011 
395,Reliance may slip further: Mohindar,01 Jul 2011 
396,CBI searches ex-regulator's home in RIL costs enquiry: Src,01 Jul 2011 
397,Buy SBI on dips: VK Sharma, 01 Jul 2011
398,RIL has target of Rs 900: VVLN Sastry,30 Jun 2011 
399,Bull's Eye: Experts give trading strategy for 12 stocks, 30 Jun 2011
400,May fuel demand rise highest since Jan,28 Jun 2011 
401,Enter Reliance around Rs 840-845 levels: Madan,28 Jun 2011 
402,"Madan`s view on ICICI Bank, Axis Bank",28 Jun 2011 
